epoch,train_loss,val_loss
1,0.31628891825675964,0.29481586813926697
2,0.29284000396728516,0.2919732332229614
3,0.2914790213108063,0.2913389801979065
4,0.29102709889411926,0.290993869304657
5,0.2907225787639618,0.29070618748664856
6,0.29035845398902893,0.2901889681816101
7,0.2896515429019928,0.2894611954689026
8,0.2891221344470978,0.2890600264072418
9,0.28874391317367554,0.28869739174842834
10,0.28842219710350037,0.28843042254447937
11,0.28819358348846436,0.28823143243789673
12,0.2880134582519531,0.2880686819553375
13,0.28785160183906555,0.287891149520874
14,0.28761449456214905,0.2876031696796417
15,0.28733429312705994,0.287328839302063
16,0.2870264947414398,0.2869904339313507
17,0.28669795393943787,0.2866881191730499
18,0.28642717003822327,0.2864442765712738
19,0.2861984074115753,0.2862186133861542
20,0.28596529364585876,0.28596994280815125
21,0.285721093416214,0.28572899103164673
22,0.28545790910720825,0.28545433282852173
23,0.28520044684410095,0.2852010726928711
24,0.28496289253234863,0.2849920392036438
25,0.28477898240089417,0.2848370373249054
26,0.2846470773220062,0.2847244143486023
27,0.2845448851585388,0.2846335172653198
28,0.28445965051651,0.2845538258552551
29,0.2843848168849945,0.2844812273979187
30,0.2843112051486969,0.28440576791763306
31,0.2842342257499695,0.28433066606521606
32,0.28416427969932556,0.2842675447463989
33,0.2841070890426636,0.2842126786708832
34,0.28406035900115967,0.28416815400123596
35,0.28402018547058105,0.28413254022598267
36,0.2839844524860382,0.28409910202026367
37,0.2839502990245819,0.2840661406517029
38,0.2839178442955017,0.28403452038764954
39,0.28388646245002747,0.2840038239955902
40,0.28385618329048157,0.283975213766098
41,0.2838267385959625,0.2839442491531372
42,0.28379735350608826,0.28391245007514954
43,0.2837645411491394,0.28388187289237976
44,0.2837311923503876,0.2838434875011444
45,0.2836933434009552,0.2838086485862732
46,0.28365832567214966,0.2837750315666199
47,0.2836287021636963,0.2837454378604889
48,0.28360190987586975,0.28372251987457275
49,0.2835788428783417,0.2836994528770447
50,0.28355783224105835,0.2836802899837494
